Date;DomesticWater_m3;WarmTapWater_m3;DistrictHeating_kWh;Electricity_of_cooling_machines_kWh;Total_Electricity_kWh
1.10.2016 0:00;0;0;120;78;285
1.10.2016 1:00;0;0;130;78;279
1.10.2016 2:00;0;0;130;78;282
1.10.2016 3:00;0;0;150;78;282
1.10.2016 4:00;0;0;160;81;281
1.10.2016 5:00;0;0;160;78;283
1.10.2016 6:00;0;0;160;78;283
1.10.2016 7:00;0;0;180;78;300
1.10.2016 8:00;0,01;0,01;260;81;339
1.10.2016 9:00;0,02;0,02;240;78;349
1.10.2016 10:00;0,01;0,01;230;78;346
1.10.2016 11:00;0,01;0,01;210;81;340
1.10.2016 12:00;0;0;200;78;340
1.10.2016 13:00;0,01;0,01;190;78;342
1.10.2016 14:00;0;0;170;78;343
1.10.2016 15:00;0,01;0,01;170;81;343
1.10.2016 16:00;0;0;150;78;332
1.10.2016 17:00;0;0;140;78;319
1.10.2016 18:00;0;0;120;78;292
1.10.2016 19:00;0;0;180;81;290
1.10.2016 20:00;0;0;190;78;290
1.10.2016 21:00;0;0;200;78;293
1.10.2016 22:00;0;0;210;78;290
1.10.2016 23:00;0;0;210;75;291
2.10.2016 0:00;0;0;210;78;286
2.10.2016 1:00;0;0;220;78;279
2.10.2016 2:00;0;0;220;81;280
2.10.2016 3:00;0;0;230;78;281
2.10.2016 4:00;0;0;260;78;281
2.10.2016 5:00;0;0;260;78;282
2.10.2016 6:00;0;0;280;78;280
2.10.2016 7:00;0;0;310;78;292
2.10.2016 8:00;0,01;0,01;360;78;309
2.10.2016 9:00;0;0;350;78;308
2.10.2016 10:00;0,01;0,01;330;81;306
2.10.2016 11:00;0,01;0,01;270;78;307
2.10.2016 12:00;0;0;210;78;309
2.10.2016 13:00;0,01;0,01;210;81;310
2.10.2016 14:00;0;0;190;78;307
2.10.2016 15:00;0,01;0,01;170;75;302
2.10.2016 16:00;0;0;180;63;293
2.10.2016 17:00;0,01;0,01;150;78;300
2.10.2016 18:00;0;0;180;81;292
2.10.2016 19:00;0;0;190;78;281
2.10.2016 20:00;0;0;200;78;280
2.10.2016 21:00;0;0;220;78;280
2.10.2016 22:00;0;0;230;78;276
2.10.2016 23:00;0;0;220;78;280
3.10.2016 0:00;0;0;240;78;277
3.10.2016 1:00;0;0;240;81;279
3.10.2016 2:00;0;0;250;78;280
3.10.2016 3:00;0;0;250;78;281
3.10.2016 4:00;0;0;270;78;280
3.10.2016 5:00;0;0;280;78;290
3.10.2016 6:00;0,02;0,02;340;75;315
3.10.2016 7:00;0,05;0,05;420;75;368
3.10.2016 8:00;0,05;0,05;480;81;420
3.10.2016 9:00;0,07;0,07;480;78;435
3.10.2016 10:00;0,03;0,03;430;81;478
3.10.2016 11:00;0,12;0,12;430;81;487
3.10.2016 12:00;0,06;0,06;390;81;494
3.10.2016 13:00;0,05;0,05;310;81;500
3.10.2016 14:00;0,04;0,04;250;81;498
3.10.2016 15:00;0,1;0,1;230;84;491
3.10.2016 16:00;0,01;0,01;240;84;480
3.10.2016 17:00;0,02;0,02;240;81;463
3.10.2016 18:00;0,07;0,07;240;81;408
3.10.2016 19:00;0,01;0,01;240;78;369
3.10.2016 20:00;0,01;0,01;240;75;331
3.10.2016 21:00;0;0;240;78;321
3.10.2016 22:00;0;0;260;78;308
3.10.2016 23:00;0;0;270;78;302
4.10.2016 0:00;0;0;260;78;301
4.10.2016 1:00;0;0;270;78;306
4.10.2016 2:00;0;0;270;78;302
4.10.2016 3:00;0;0;290;78;301
4.10.2016 4:00;0;0;320;78;300
4.10.2016 5:00;0;0;340;78;312
4.10.2016 6:00;0,02;0,02;380;75;320
4.10.2016 7:00;0,07;0,07;500;78;371
4.10.2016 8:00;0,09;0,09;610;75;424
4.10.2016 9:00;0,18;0,18;600;60;413
4.10.2016 10:00;0,07;0,07;560;57;466
4.10.2016 11:00;0,09;0,09;520;75;443
4.10.2016 12:00;0,05;0,05;480;57;413
4.10.2016 13:00;0,05;0,05;410;57;436
4.10.2016 14:00;0,08;0,08;380;75;477
4.10.2016 15:00;0,13;0,13;400;75;459
4.10.2016 16:00;0,04;0,04;440;75;482
4.10.2016 17:00;0,05;0,05;390;75;436
4.10.2016 18:00;0,03;0,03;350;72;409
4.10.2016 19:00;0,01;0,01;320;57;357
4.10.2016 20:00;0;0;270;60;324
4.10.2016 21:00;0;0;270;69;328
4.10.2016 22:00;0;0;280;57;298
4.10.2016 23:00;0;0;270;54;293
5.10.2016 0:00;0;0;260;57;292
5.10.2016 1:00;0;0;260;54;291
5.10.2016 2:00;0;0;260;66;301
5.10.2016 3:00;0;0;290;63;301
5.10.2016 4:00;0;0;310;57;286
5.10.2016 5:00;0;0;330;60;297
5.10.2016 6:00;0,01;0,01;390;54;325
5.10.2016 7:00;0,04;0,04;520;54;395
5.10.2016 8:00;0,13;0,13;580;75;463
5.10.2016 9:00;0,12;0,12;530;57;464
5.10.2016 10:00;0,08;0,08;480;72;492
