Time;unit;011116;021116;031116;041116;051116;061116;071116;081116;091116;101116;111116;121116;131116;141116;151116;161116;171116;181116;191116;201116;211116;221116;231116;241116
09-10;Revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09-10;number of portitions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10-11;Revenue;23;10;0;0;0;0;8;32;0;8;0;0;0;140;153;237;144;151;0;0;107;85;65;152
10-11;number of portitions;3;1;0;0;0;0;1;5;0;1;0;0;0;20;18;32;22;20;0;0;14;9;11;21
11-12;Revenue;70;88;35;55;0;0;44;17;71;44;77;0;0;545;805;443;466;549;0;0;791;667;787;595
11-12;number of portitions;8;14;6;7;0;0;5;3;10;9;12;0;0;74;111;66;66;77;0;0;107;96;112;86
12-13;Revenue;108;73;80;37;0;0;84;93;18;56;46;0;0;399;340;299;218;297;0;0;351;485;440;203
12-13;number of portitions;14;8;9;4;0;0;11;11;2;7;5;0;0;53;46;37;29;39;0;0;54;66;62;26
13-14;Revenue;213;635;326;236;0;0;828;552;422;0;481;0;0;2633;2099;67;72;22;0;0;91;69;240;36
13-14;number of portitions;51;78;42;30;0;0;102;68;52;0;59;0;0;324;259;10;13;6;0;0;12;10;31;5
14-15;Revenue;0;0;0;0;0;0;0;0;0;447;0;0;0;0;7;2054;10;6;0;0;17;0;6;24
14-15;number of portitions;0;0;0;0;0;0;0;0;0;55;0;0;0;0;2;253;1;1;0;0;2;0;1;3
15-16;Revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1884;0;0;10;0;2;0
15-16;number of portitions;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;232;0;0;1;0;2;0
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
