Date and Time (UTC),300_1001_Sahko_8U_krs_8U_krs_G_01_P,Status,300_1002_Sahko_7_krs_7_krs_G_01_P,Status,300_1003_Sahko_7_krs_7_krs_G_02_P,Status,300_1004_Sahko_6_krs_6_krs_G_02_P,Status,300_1005_Sahko_6_krs_6_krs_G_01_P,Status,300_1006_Sahko_5_krs_5_krs_G_01_P,Status,300_1007_Sahko_5_krs_5_krs_G_021_P,Status,300_1008_Sahko_5_krs_5_krs_G_02_P,Status,300_1009_Sahko_5_krs_5_krs_F_01_P,Status,300_1010_Sahko_4_krs_4_krs_F_01_P,Status,300_1011_Sahko_4_krs_4_krs_G_02_P,Status,300_1012_Sahko_4_krs_4_krs_G_01_P,Status,300_1013_Sahko_3_krs_3_krs_F_01_P,Status,300_1014_Sahko_3_krs_3_krs_G_02_P,Status,300_1015_Sahko_3_krs_3_krs_G_01_P,Status,300_1016_Sahko_2_krs_2_krs_F_01_P,Status,300_1017_Sahko_2_krs_2_krs_G_01_P,Status,300_1018_Sahko_2_krs_2_krs_G_02_P,Status,300_1019_Sahko_2_krs_2_krs_G_03_P,Status
2016-10-11 08:10:00,7.666000,0,10.290000,0,11.460000,0,15.127000,0,11.562000,0,17.526000,0,0.061000,0,7.655000,0,12.247000,0,8.131000,0,10.417000,0,16.158000,0,4.857000,0,7.984000,0,8.286000,0,6.535000,0,22.425000,0,20.327000,0,3.852000,0
2016-10-11 08:15:00,7.674000,0,10.304000,0,11.479000,0,15.147000,0,11.577000,0,17.545000,0,0.061000,0,7.669000,0,12.263000,0,8.141000,0,10.428000,0,16.172000,0,4.865000,0,7.998000,0,8.298000,0,6.540000,0,22.442000,0,20.356000,0,3.853000,0
2016-10-11 08:20:00,7.683000,0,10.318000,0,11.498000,0,15.168000,0,11.592000,0,17.562000,0,0.061000,0,7.682000,0,12.279000,0,8.150000,0,10.438000,0,16.187000,0,4.873000,0,8.012000,0,8.310000,0,6.544000,0,22.458000,0,20.385000,0,3.853000,0
2016-10-11 08:25:00,7.691000,0,10.334000,0,11.518000,0,15.188000,0,11.606000,0,17.579000,0,0.061000,0,7.697000,0,12.295000,0,8.159000,0,10.449000,0,16.200000,0,4.880000,0,8.026000,0,8.322000,0,6.548000,0,22.475000,0,20.414000,0,3.854000,0
2016-10-11 08:30:00,7.699000,0,10.349000,0,11.538000,0,15.208000,0,11.620000,0,17.598000,0,0.061000,0,7.711000,0,12.311000,0,8.168000,0,10.460000,0,16.216000,0,4.889000,0,8.041000,0,8.333000,0,6.552000,0,22.491000,0,20.442000,0,3.855000,0
2016-10-11 08:35:00,7.707000,0,10.365000,0,11.558000,0,15.227000,0,11.634000,0,17.617000,0,0.061000,0,7.726000,0,12.327000,0,8.177000,0,10.470000,0,16.230000,0,4.898000,0,8.055000,0,8.345000,0,6.556000,0,22.508000,0,20.470000,0,3.856000,0
2016-10-11 08:40:00,7.715000,0,10.380000,0,11.574000,0,15.247000,0,11.649000,0,17.636000,0,0.061000,0,7.739000,0,12.343000,0,8.186000,0,10.480000,0,16.246000,0,4.907000,0,8.070000,0,8.358000,0,6.560000,0,22.524000,0,20.499000,0,3.856000,0
2016-10-11 08:45:00,7.723000,0,10.396000,0,11.592000,0,15.268000,0,11.666000,0,17.655000,0,0.061000,0,7.752000,0,12.359000,0,8.195000,0,10.491000,0,16.262000,0,4.915000,0,8.085000,0,8.372000,0,6.564000,0,22.541000,0,20.531000,0,3.857000,0
2016-10-11 08:50:00,7.731000,0,10.412000,0,11.610000,0,15.288000,0,11.682000,0,17.675000,0,0.061000,0,7.767000,0,12.376000,0,8.204000,0,10.502000,0,16.277000,0,4.924000,0,8.099000,0,8.385000,0,6.568000,0,22.557000,0,20.559000,0,3.858000,0
2016-10-11 08:55:00,7.740000,0,10.427000,0,11.627000,0,15.307000,0,11.698000,0,17.695000,0,0.061000,0,7.780000,0,12.392000,0,8.213000,0,10.512000,0,16.293000,0,4.933000,0,8.114000,0,8.398000,0,6.573000,0,22.574000,0,20.591000,0,3.858000,0
